split,hour_of_day,count,mean_actual,mean_prediction,mean_residual,mae,rmse
test,0.0,76736,0.4354670558798999,0.3768523948727598,0.05861466100714005,0.430328296798749,0.821483324616132
test,1.0,76501,0.2513954065959922,0.22645101569944145,0.02494439089655078,0.2913680357302412,0.6101595306185756
test,2.0,76370,0.15908079088647376,0.14494897594088632,0.014131814945587415,0.208012226741781,0.4806817365266478
test,3.0,76311,0.10568594304883962,0.10386415636166843,0.0018217866871711817,0.15897941565356177,0.4035017492504779
test,4.0,76297,0.10864123097893758,0.09252534616729186,0.016115884811645723,0.15846787624890388,0.38397344789069954
test,5.0,76521,0.25723657558055957,0.26615133557179116,-0.008914759991231527,0.3093800938599088,0.640319610431662
test,6.0,76886,0.6565564602138231,0.6920964141573929,-0.03553995394356985,0.5509939147501925,1.0116412138618822
test,7.0,77161,1.4088982776272987,1.4194296660453107,-0.010531388418011963,0.8590593244233197,1.4987588549856252
test,8.0,77274,2.1327095789010535,2.14894257156963,-0.01623299266857716,1.0901031433302215,2.021329498524538
test,9.0,77284,1.774105895140003,1.6496196745274514,0.12448622061255185,0.9379188987815881,1.6935712153771205
test,10.0,77286,1.5077504334549594,1.4220817447479197,0.08566868870703977,0.8743998706914557,1.5019569408679616
test,11.0,77324,1.6261316020899075,1.5266693041797272,0.09946229791017985,0.9216937314859229,1.5832607997875419
test,12.0,77372,1.762859949335677,1.6709592924958936,0.09190065683978328,1.0060932664858238,1.7533865648018163
test,13.0,77383,1.8494501376271275,1.7623007993714523,0.08714933825567468,1.060549281221668,1.8426131477783492
test,14.0,77418,2.0042238239169183,1.909705958959571,0.09451786495734732,1.0910721988731753,1.8429043001634406
test,15.0,77473,2.2118931756870137,2.0470891459465115,0.16480402974050232,1.1272451078714592,1.9138619523481704
test,16.0,77494,2.3564404986192478,2.1459070857685445,0.21053341285070346,1.1716308690950976,2.0338830838498607
test,17.0,77437,2.616010434288518,2.472159728143629,0.14385070614488898,1.271798544963876,2.388220047559275
test,18.0,77418,2.3343925185357413,2.252909322408944,0.08148319612679696,1.2059352332953328,2.2317777391144156
test,19.0,77329,1.7680689004125232,1.6704108641032078,0.09765803630931522,0.983850491284922,1.727734271169564
test,20.0,77213,1.260176395166617,1.2126239379029984,0.04755245726361865,0.8128674413564407,1.414582460961167
test,21.0,77086,0.9749630283060478,0.9484062612985549,0.02655676700749284,0.7082655489329494,1.2380707667296793
test,22.0,76969,0.8096376463251439,0.7762178645933656,0.033419781731778196,0.6353055973559472,1.1302147471560362
test,23.0,76933,0.6241144892308892,0.5903917020843161,0.03372278714657312,0.5454823953888455,0.972184017874627
val,0.0,151528,0.8478301040071802,0.7764619072550972,0.07136819675208277,0.6678540480362776,1.2447332881860904
val,1.0,150950,0.4925339516396158,0.47338468142478796,0.019149270214827867,0.47490676700522305,0.9826819259531939
val,2.0,150667,0.3245103440036637,0.30893402030964595,0.015576323694017796,0.34828079381058924,0.77945433343904
val,3.0,150428,0.22132847608158054,0.2164351647803269,0.0048933113012536575,0.2730118234977048,0.650542917271063
val,4.0,150444,0.1974555316263859,0.17446435469087285,0.02299117693551306,0.2546102557708025,0.5714002927493257
val,5.0,150997,0.41511420756703776,0.38932580428218905,0.025788403284848622,0.426665770769326,0.8068289798436792
val,6.0,151810,1.1455174230946579,1.0625448152875667,0.08297260780709109,0.7627594459105786,1.3698702991947644
val,7.0,152570,2.5306285639378645,2.34848810243678,0.1821404615010845,1.217099097859045,2.0951016504598896
val,8.0,152758,3.872104897943152,3.6740078007452768,0.19809709719787424,1.5471199816608272,2.769420799944192
val,9.0,152679,3.1777716647345082,2.9733071270624953,0.20446453767201336,1.37531668066856,2.3839856249764315
val,10.0,152672,2.7129532592747854,2.584843309223629,0.12810995005115583,1.270308310546438,2.163766443964691
val,11.0,152712,2.9266134946828015,2.7954764428409975,0.1311370518418033,1.3234490677055104,2.282541377844534
val,12.0,152830,3.3384479487011713,3.1712276914184536,0.16722025728271808,1.4100537516085312,2.4160533627560006
val,13.0,152949,3.527280335275157,3.392162788800341,0.135117546474816,1.4592524522332104,2.4765060834183616
val,14.0,153007,3.84968007999634,3.695781310314195,0.1538987696821451,1.5420117334904342,2.575462878343289
val,15.0,153109,4.240848023303659,4.036019953600567,0.20482806970309222,1.6377421175609048,2.722684880646192
val,16.0,153068,4.619450179005409,4.4433344075339205,0.17611577147148813,1.7207384402720258,2.936405291980341
val,17.0,153110,5.48701587094246,5.287434215556798,0.19958165538566092,1.8906086922232574,3.355396151497837
val,18.0,152949,4.9339387639016925,4.815457099365813,0.11848166453587965,1.7582734113860419,3.0861429292689873
val,19.0,152830,3.609350258457109,3.5021306215909744,0.1072196368661345,1.4666827327607375,2.47336002703073
val,20.0,152527,2.624473044116779,2.4848799557198493,0.1395930883969297,1.2323108756414303,2.0905011366623643
val,21.0,152405,2.0558118171975983,1.9397277804670452,0.1160840367305525,1.101414324677047,1.9344321714793806
val,22.0,152221,1.6842616984515935,1.5954261185074077,0.08883557994418599,1.005786845419617,1.7926468657278551
val,23.0,151987,1.2794910090994625,1.1959843188601555,0.0835066902393068,0.8538773943894505,1.5258782148293943
