feature,importance_gain,importance_split,importance_pct
lag_1h,3200521641.9926147,12449,58.95914934486306
lag_24h,926123658.3909454,11386,17.06080108019113
lag_2h,650974424.8121643,8904,11.992075863074351
hour_of_day,301385086.90682983,17648,5.552035054570431
start_lng,96132275.13186646,20532,1.77092293081087
start_lat,93259846.96133423,23479,1.7180078312012446
day_of_week,80751651.83213806,8435,1.48758522290486
temperature,33690948.72399902,11915,0.6206456008063967
precipitation,18689817.894577026,3921,0.3442988011756128
is_weekend,14252230.293563843,947,0.26255075527389643
month,7605879.128173828,4481,0.14011346073503989
is_holiday,4281259.800262451,1288,0.07886821717933408
snow_depth,570610.3518829346,509,0.010511630514532366
snowfall,132137.78198242188,106,0.002434206699239856
